,Object,RelatedVerb,Toggleable,Breakable,Fillable,Dirtyable,UseUpable,Cookable,Sliceable,Openable,Pickupable,Moveable
417,teddy_bear,Average,0.019,0.027,-0.091,-0.016,-0.056,0.02,-0.076,-0.032,-0.02,0.023
418,television,watching,-0.059,0.025,0.009,-0.014,0.002,0.072,-0.034,-0.044,-0.052,0.037
419,television,watch_a_movie,-0.063,0.055,0.06,0.087,-0.002,0.001,-0.028,-0.004,0.166,-0.009
420,television,dull_your_brain,-0.05,0.05,0.007,-0.013,0.041,0.052,0.025,0.005,0.033,0.123
421,television,broadcasting_shows_into_homes,-0.002,-0.008,-0.019,-0.038,-0.094,0,0.051,-0.009,-0.032,0.021
422,television,watching_a_show,-0.059,0.025,0.009,-0.014,0.002,0.072,-0.034,-0.044,-0.052,0.037
423,television,Average,-0.0466,0.0294,0.0132,0.0016,-0.0102,0.0394,-0.004,-0.0192,0.0126,0.0418
424,tennis_racket,,0,0,0,0,0,0,0,0,0,0
425,tennis_racket,Average,0,0,0,0,0,0,0,0,0,0
426,tissue_box,,0,0,0,0,0,0,0,0,0,0
427,tissue_box,Average,0,0,0,0,0,0,0,0,0,0
428,toaster,making_toast,-0.008,-0.006,0.076,0.048,0.176,-0.041,-0.038,-0.004,0.139,0.032
429,toaster,toasting_bread,-0.028,0.038,-0.021,0.007,-0.046,0.173,0.119,-0.031,0.016,-0.037
430,toaster,Average,-0.018,0.016,0.0275,0.0275,0.065,0.066,0.0405,-0.0175,0.0775,-0.0025
431,toilet,poop,-0.087,0.014,0.032,0.205,0.046,0.029,-0.015,-0.028,0.171,-0.002
432,toilet,urinate,0.016,-0.04,-0.045,0.05,-0.02,-0.003,-0.046,-0.012,0.067,0.006
433,toilet,peeing,0.06,0,-0.026,0.091,-0.028,-0.05,-0.035,0,0.02,-0.023
434,toilet,shitting,0.038,0,-0.028,0.146,0.05,0.013,-0.018,0.028,0.031,-0.005
435,toilet,waste,-0.028,-0.062,0.022,0.103,0.103,0.039,0.045,-0.003,0.11,0.08
436,toilet,Average,-0.0002,-0.0176,-0.009,0.119,0.0302,0.0056,-0.0138,-0.003,0.0798,0.0112
437,toilet_paper,wipe_your_arse,-0.027,0.088,0.007,0.114,-0.009,0.021,0.057,-0.062,0.164,-0.07
438,toilet_paper,blow_your_nose,-0.05,0.162,0.066,-0.02,-0.021,0.076,-0.039,0.073,0.193,-0.05
439,toilet_paper,wiping_your_asshole,-0.036,-0.022,-0.035,0.197,0.005,0.01,-0.013,-0.01,0.011,-0.052
440,toilet_paper,wipe_your_nose,-0.027,0.088,0.007,0.114,-0.009,0.021,0.057,-0.062,0.164,-0.07
441,toilet_paper,females_to_wipe_their_vaginas,0.039,0.122,-0.029,-0.037,0.001,-0.021,-0.023,0.049,0.04,-0.05
442,toilet_paper,Average,-0.0202,0.0876,0.0032,0.0736,-0.0066,0.0214,0.0078,-0.0024,0.1144,-0.0584
443,toilet_paper_hanger,,0,0,0,0,0,0,0,0,0,0
